query,predicted_intent,confidence,true_intent,intent_correct,filter_type,categories,relevant_total,relevant_in_boost,boost_coverage,conf_bin
what time do they stop serving breakfast,find_cafe,26.8,,,low_confidence_fallback,,792,0,0.0,<40% (low)
bookstore open this evening,find_shop,46.8,,,specific_override,['books'],23,23,1.0,40-60%
any food places open right now,find_food,37.5,,,low_confidence_fallback,,801,0,0.0,<40% (low)
when does the cafe start serving coffee,find_cafe,83.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",262,262,1.0,>80%
open pharmacy near me now,find_service,46.7,,,specific_override,['pharmacy'],32,32,1.0,40-60%
is the bank still open,find_service,30.9,,,specific_override,['bank'],84,84,1.0,<40% (low)
what time does the hair salon close today,find_shop,39.7,,,specific_override,['hairdresser'],75,75,1.0,<40% (low)
restaurants open on christmas day,find_food,32.7,,,low_confidence_fallback,,535,0,0.0,<40% (low)
which stores are open this late,find_shop,26.8,,,low_confidence_fallback,,189,0,0.0,<40% (low)
bakery open before 7am,find_cafe,67.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",36,36,1.0,60-80%
what time dose the pharmacy close,find_service,60.7,,,specific_override,['pharmacy'],32,32,1.0,60-80%
is the coffe shop open yet,find_shop,36.7,,,low_confidence_fallback,,262,0,0.0,<40% (low)
grocery store hours today,find_shop,76.8,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",104,104,1.0,60-80%
what time does that resturant close,find_food,29.1,,,no_signal_fallback,,801,0,0.0,<40% (low)
open late cafes downtown,find_cafe,33.2,,,low_confidence_fallback,,262,0,0.0,<40% (low)
wheelchair accessible restaurant,find_food,56.9,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,40-60%
step free entrance pharmacy,find_service,37.8,,,specific_override,['pharmacy'],2,2,1.0,<40% (low)
accessible cafe near me,find_cafe,56.3,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
restaurant with wheelchair access,find_food,44.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,40-60%
can i get into this cafe with a wheelchair,find_cafe,40.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
mobility friendly pharmacy nearby,find_service,54.6,,,specific_override,['pharmacy'],2,2,1.0,40-60%
disabled access restaurant,find_food,60.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,60-80%
step-free coffee shop,find_cafe,49.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
wheelchair friendly bar,find_cafe,62.5,,,no_signal_fallback,,39,0,0.0,60-80%
accessible entrance grocery store,find_shop,74.1,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",26,26,1.0,60-80%
restaurant with no stairs,find_food,55.8,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,40-60%
easy access cafe downtown,find_cafe,49.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
pharmacy with ramp entrance,find_service,42.6,,,specific_override,['pharmacy'],2,2,1.0,40-60%
wheelchair accessible seating restaurant,find_food,50.5,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,40-60%
can i bring a wheelchair into this cafe,find_cafe,46.3,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
accessible public restroom cafe,find_cafe,67.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,60-80%
barrier free restaurant nearby,find_food,48.0,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,40-60%
step free bakery,find_cafe,49.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",10,10,1.0,40-60%
accessible fast food place,find_food,72.0,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",24,24,1.0,60-80%
restaurant suitable for mobility scooter users,find_food,42.4,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,40-60%
which cafes have wheelchair access,find_cafe,27.4,,,low_confidence_fallback,,54,0,0.0,<40% (low)
disabled friendly pharmacy open now,find_service,43.9,,,specific_override,['pharmacy'],2,2,1.0,40-60%
wheelchair accessible coffee place,find_cafe,58.0,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
restraunt with wheelchair access,find_cafe,29.1,,,no_signal_fallback,,100,0,0.0,<40% (low)
step free entrnace cafe,find_cafe,50.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
accessible shop and cafe nearby,find_cafe,54.2,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",77,54,0.701,40-60%
mobility scooter friendly restaurant,find_food,34.0,,,low_confidence_fallback,,100,0,0.0,<40% (low)
cafe with ramp access,find_cafe,56.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
pharmacy accessible for disabled customers,find_service,51.5,,,specific_override,['pharmacy'],2,2,1.0,40-60%
wheelchair access near entrance restaurant,find_food,36.9,,,low_confidence_fallback,,100,0,0.0,<40% (low)
good coffee near me,find_cafe,32.8,,,low_confidence_fallback,,483,0,0.0,<40% (low)
espresso nearby,find_cafe,75.0,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",241,241,1.0,60-80%
cafe with wifi,find_cafe,64.8,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,60-80%
quiet coffee shop to work from,find_cafe,56.0,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
where can i get a decent latte,find_cafe,38.8,,,low_confidence_fallback,,483,0,0.0,<40% (low)
coffee and pastries nearby,find_cafe,49.8,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
need a cafe for studying,find_cafe,57.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
local coffee place open now,find_cafe,49.2,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
any specialty coffee around here,find_cafe,41.2,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
cheap coffee nearby,find_cafe,43.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
best espresso downtown,find_cafe,61.8,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",241,241,1.0,60-80%
somewhere to work and drink coffee,find_cafe,38.7,,,low_confidence_fallback,,483,0,0.0,<40% (low)
late night cafe,find_cafe,54.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
good iced coffee around here,find_cafe,38.2,,,low_confidence_fallback,,483,0,0.0,<40% (low)
cafe open early morning,find_cafe,63.6,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,60-80%
where can i sit and read with coffee,find_cafe,39.3,,,low_confidence_fallback,,483,0,0.0,<40% (low)
coffee near burnside,find_cafe,51.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
coffee place with good internet,find_cafe,50.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
independent cafe nearby,find_cafe,75.0,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,60-80%
breakfast and coffee spot,find_cafe,55.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
need caffeine asap,find_cafe,26.4,,,low_confidence_fallback,,483,0,0.0,<40% (low)
small cozy cafe,find_cafe,58.6,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
good flat white nearby,find_cafe,40.2,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
cafe near transit stop,find_cafe,44.1,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
best coffee for remote work,find_cafe,47.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
latte and croissant near me,find_cafe,47.1,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
where's a nice cafe to meet a friend,find_cafe,51.2,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
cafee open now,find_cafe,27.5,,,low_confidence_fallback,,483,0,0.0,<40% (low)
coffee shop close by,find_cafe,57.9,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
place for pour over coffee,find_cafe,45.3,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
best mocha in portland,find_food,29.1,,,low_confidence_fallback,,483,0,0.0,<40% (low)
mexican food near me,find_food,42.0,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
where can i get tacos,find_food,55.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",63,63,1.0,40-60%
good pizza nearby,find_food,53.1,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",89,89,1.0,40-60%
hungry need food now,find_food,42.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
best burger place around here,find_food,60.6,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",68,68,1.0,60-80%
thai food close by,find_food,43.7,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,40-60%
restaurant for dinner tonight,find_food,64.4,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,60-80%
sushi near downtown,find_food,54.8,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",67,67,1.0,40-60%
cheap lunch spot,find_food,27.4,,,low_confidence_fallback,,1800,0,0.0,<40% (low)
where can i get ramen,find_food,36.9,,,low_confidence_fallback,,21,0,0.0,<40% (low)
good indian food nearby,find_food,45.3,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,40-60%
resturant with good tacos,find_food,56.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
family friendly restaurant near me,find_food,45.4,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,40-60%
late night food options,find_food,52.9,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
best fried chicken around here,find_food,29.3,,,low_confidence_fallback,,1800,0,0.0,<40% (low)
parking near me,find_transport,58.8,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",6395,6395,1.0,40-60%
where can i park downtown,find_transport,36.6,,,no_signal_fallback,,6395,0,0.0,<40% (low)
charging station close by,find_transport,32.3,,,specific_override,['charging_station'],50,50,1.0,<40% (low)
need gas station,find_transport,38.9,,,low_confidence_fallback,,132,0,0.0,<40% (low)
car wash around here,find_transport,40.0,,,intent_boost,"['parking', 'parking_space', 'parking_entrance', 'bicycle_parking', 'bicycle_rental', 'charging_station', 'fuel', 'car_wash', 'motorcycle_parking', 'car_rental', 'taxi', 'bus_station']",32,32,1.0,<40% (low)
electric vehicle charging nearby,find_transport,47.4,,,specific_override,['charging_station'],50,50,1.0,40-60%
nearest parking garage,find_transport,33.6,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",3082,3082,1.0,<40% (low)
motorcycle parking downtown,find_transport,60.7,,,specific_override,['motorcycle_parking'],18,18,1.0,60-80%
fuel station open now,find_transport,31.2,,,low_confidence_fallback,,132,0,0.0,<40% (low)
taxi stand close by,find_transport,37.8,,,low_confidence_fallback,,1,0,0.0,<40% (low)
parkng near convention center,find_transport,37.2,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",6098,6098,1.0,<40% (low)
where can i charge my car tonight,find_transport,39.2,,,low_confidence_fallback,,50,0,0.0,<40% (low)
convenience store open now,find_shop,41.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",307,307,1.0,40-60%
clothing shop near me,find_shop,55.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",194,194,1.0,40-60%
buy gifts nearby,find_shop,47.8,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",66,66,1.0,40-60%
supermarket close by,find_shop,65.6,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",86,86,1.0,60-80%
shoe store around here,find_shop,41.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",34,34,1.0,40-60%
shop open late tonight,find_shop,43.7,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",501,501,1.0,40-60%
book store nearby,find_shop,49.2,,,specific_override,['books'],46,46,1.0,40-60%
nearest furniture store,find_shop,58.8,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",66,66,1.0,40-60%
convience store close by,find_shop,48.9,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",307,307,1.0,40-60%
pharmacy near me,find_service,61.3,,,specific_override,['pharmacy'],47,47,1.0,60-80%
find a dentist nearby,find_service,70.9,,,specific_override,['dentist'],145,145,1.0,60-80%
atm nearby,find_service,56.6,,,specific_override,['atm'],95,95,1.0,40-60%
doctor office open today,find_service,60.5,,,specific_override,"['doctors', 'clinic']",314,314,1.0,60-80%
hair salon nearby,find_shop,60.7,,,specific_override,['hairdresser'],297,297,1.0,60-80%
pharamcy open now,find_cafe,27.5,,,no_signal_fallback,,47,0,0.0,<40% (low)
where can i get a prescription filled,find_food,30.1,,,no_signal_fallback,,47,0,0.0,<40% (low)
car hire close by,find_transport,28.2,,,low_confidence_fallback,,23,0,0.0,<40% (low)
cab nearby,find_shop,28.9,,,no_signal_fallback,,1,0,0.0,<40% (low)
disabled parking nearby,find_transport,43.5,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",41,41,1.0,40-60%
airport parking nearby,find_transport,44.7,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",41,41,1.0,40-60%
overnight parking downtown,find_transport,47.8,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",41,41,1.0,40-60%
bike repair shop nearby,find_shop,58.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",17,0,0.0,40-60%
bicycle fix nearby,find_transport,28.2,,,low_confidence_fallback,,17,0,0.0,<40% (low)
scooter rental nearby,find_transport,26.0,,,no_signal_fallback,,91,0,0.0,<40% (low)
accessible parking close by,find_service,23.5,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",41,41,1.0,<40% (low)
